Name,City,Cuisine Style,Ranking,Restaurants Count,Ranking Normalized,Rating,Price Range,Number of Reviews
Espai Mescladis,Barcelona,"Cafe, European, Spanish, Mediterranean",952,9312,0.10223367697594501,4.0,$$ - $$$,293
China,Copenhagen,"Chinese, Fast Food, Asian",2120,2333,0.9087012430347192,2.5,$,14
Little Venice,Dublin,"Italian, Pizza, European, Vegetarian Friendly, Vegan Options",220,2313,0.09511456982274102,4.5,$$ - $$$,441
Passcal,Prague,Cafe,3469,5235,0.6626552053486151,4.0,$,5
Villa Maria Steakhouse,Amsterdam,"Steakhouse, Latin, Barbecue, Argentinean, South American",332,3854,0.08614426569797613,4.5,$$ - $$$,689
Kanji EVO,Milan,"Japanese, Sushi, Asian, Chinese",881,7025,0.12540925266903916,4.0,$$ - $$$,729
Chistu,Barcelona,"Mediterranean, Spanish",4416,9312,0.4742268041237113,4.0,$,26
The German Deli,Market in London,"Deli, German, Fast Food",24,32,0.75,4.5,$,16
Fozelekfalo Food Bar,Budapest,"European, Hungarian",2401,2933,0.8186157517899761,3.0,$,12
Pizza Pancetta - Majorstuen,Oslo,"Pizza, Italian",507,1306,0.388208269525268,4.0,$,21
Lula,Paris,Special Diets,7401,16668,0.44402447804175665,4.0,$$ - $$$,69
Brasseria Gallega,Barcelona,"Seafood, Mediterranean, Spanish, European",1719,9312,0.18460051546391754,4.0,$$ - $$$,148
l'Orient d'Or,Paris,"Chinese, Asian",1700,16668,0.10199184065274779,4.0,$$ - $$$,182
One Bistro,Dublin,"Irish, European",253,2313,0.10938175529615218,4.5,$$ - $$$,83
Piano Kensington,London,"Bar, International",5364,19359,0.27708042770804275,4.0,$$ - $$$,95
Embaixada Portuguesa,Lisbon,"European, Portuguese, Contemporary, Wine Bar",1099,4685,0.2345784418356457,4.5,$$ - $$$,78
Pekelhaaring,Amsterdam,"Italian, Mediterranean, European",736,3854,0.1909704203425013,4.0,$$ - $$$,188
LA MEKA DE LA BAGUETTE,Madrid,"Spanish, Cafe",8810,10890,0.8089990817263545,3.5,$,32
Poncho 8,London,"Mexican, Fast Food, South American",1461,1819,0.8031885651456845,3.5,$,30
Opificio Vescovio,Rome,"Italian, Pizza, Mediterranean, Barbecue, Grill",669,10586,0.0631966748535802,4.5,$$ - $$$,366
Rice Garden,Helsinki,"Japanese, Sushi, Asian",1037,1474,0.7035278154681139,3.0,$,20
Sushi Bar Ishin,Berlin,"Japanese, Sushi, Asian",2789,7127,0.39132874982461063,4.5,$$ - $$$,15
Speisekombinat,Berlin,"Mediterranean, Grill, Italian, Pizza, European",2199,7127,0.3085449698330293,3.5,$$ - $$$,168
Kyo Fusion Restaurant,Milan,"Chinese, Japanese, Seafood, Sushi, Asian, Middle Eastern",1368,7025,0.19473309608540926,4.0,$,332
Milano,Zurich,"Italian, Pizza, European",1199,1795,0.667966573816156,3.5,$$ - $$$,34
Samen, Amsterdam,"Dutch, Cafe, European",100,162,0.6172839506172839,4.5,$,17
Le Chalet de la Foret,Uccle,"French, European",24,113,0.21238938053097345,4.5,$$$$,57
Creperie Caramel Sale,Lyon,French,511,2705,0.188909426987061,4.5,$,55
Cafe Berfin,Vienna,"Cafe, Middle Eastern, Turkish",1744,3953,0.44118391095370607,4.0,$$ - $$$,24
The Beer House,Edinburgh,"Bar, Pub, British",1735,1856,0.9348060344827587,2.0,$$ - $$$,66
Chuchu,Vienna,"South American, Latin, Venezuelan",1022,3953,0.2585378193776878,4.5,$$ - $$$,33
Vital Ingredient,London,"Fast Food, Healthy",9905,19359,0.5116483289426107,3.5,$$ - $$$,25
McDonald's,Prague,Fast Food,102,116,0.8793103448275862,3.0,$,30
Fraulein Gruneis,Munich,"Cafe, Healthy",299,3020,0.09900662251655629,4.5,$,81
Eiscafe Pinocchio,Munich,"Italian, European, Pizza",1241,3020,0.4109271523178808,4.0,$,27
Oskar,Vienna,Italian,3171,3953,0.8021755628636479,3.5,$,3
Le Poulet,Budapest,"French, European, Hungarian",648,2933,0.22093419706784861,4.5,$$ - $$$,45
Golden House,Amsterdam,"Chinese, Asian",1913,3854,0.49636741048261546,4.0,$$ - $$$,28
Restaurante Samm,Madrid,"Mediterranean, Spanish",2014,10890,0.1849403122130395,3.5,$$ - $$$,463
L'Atelier d'Yvonne,Lyon,"French, European",319,2705,0.11792975970425139,4.0,$$ - $$$,582
Lamosa Grill,Lisbon,"European, Portuguese",3942,4685,0.8414087513340448,3.5,$,3
Teodoro ristorant*caffe,Prague,"Italian, Mediterranean",3520,5235,0.6723973256924546,5.0,$$ - $$$,1
Deichgraf,Berlin,"German, European, Central European",4851,7127,0.6806510453206117,3.5,$$ - $$$,39
Ventitre,Rome,Italian,6400,10586,0.6045720763272247,4.0,$,9
Slovak Pubs,Bratislava,FEATURES,900,1199,0.7506255212677231,3.0,$$ - $$$,13
Pizza Jardin,Madrid,"Italian, Pizza",6293,10890,0.5778696051423324,3.5,$$ - $$$,57
Buenas Migas,Barcelona,Italian,3363,9312,0.36114690721649484,4.0,$,37
Pizzeria La Cupula,Las Rozas,"Italian, Pizza, European, Neapolitan, Campania, Southern-Italian",6,190,0.031578947368421054,4.5,$$ - $$$,144
Sheezan,Paris,"Indian, Pakistani",4570,16668,0.27417806575473963,4.0,$,75
Aqua London,London,Meals,7759,19359,0.40079549563510514,4.0,$$ - $$$,33
Pizzeria Grand'Italia,Milan,"Italian, Pizza, Mediterranean, European",2448,7025,0.34846975088967974,3.5,$$ - $$$,403
Trattoria la Madonnina di Costantino Cuciniello (Precotto),Milan,Italian,3914,7025,0.557153024911032,3.5,$,43
Conti,Zurich,"Italian, Seafood, Mediterranean, European",226,1795,0.12590529247910864,4.0,$$$$,271
Cucina Asellina,London,Italian,2526,19359,0.13048194638152796,4.0,$$ - $$$,458
Ristorante Est Est Est,Rome,"Local cuisine, Italian, Pizza, Mediterranean, European, Romana",2244,10586,0.21197808426223314,3.5,$$ - $$$,636
Epicerie et Associes,Paris,French,7766,16668,0.46592272618190544,4.0,$,25
Sandwich Culture,Edinburgh,Cafe,1128,1856,0.6077586206896551,4.0,$,17
Love Juice Bar,Paris,Special Diets,9594,16668,0.5755939524838013,3.5,$,22
Zoco Bar,Paris,"French, Cafe",6736,16668,0.40412766978641707,4.0,$,41
Cafe Parco, London,"Cafe, British",343,1407,0.24378109452736318,4.5,$,37
Olive Tree Restaurant,Bratislava,Greek,905,1199,0.7547956630525438,3.0,$,3
Latem Bar & Restaurant,Warsaw,"Local cuisine, Polish, Vegetarian Friendly, Gluten Free Options",38,3007,0.012637179913535085,4.5,$$ - $$$,234
Proviant,Stockholm,"Swedish, Scandinavian",212,2880,0.07361111111111111,4.0,$$ - $$$,180
El Patio,Madrid,Spanish,5916,10890,0.5432506887052342,3.5,$,20
Pizzeria I Gemelli Roma,Rome,"Pizza, Italian",18,10586,0.0017003589646703192,5.0,$,194
Tibet Restaurant,Hamburg,"Tibetan, Nepali, Asian",1127,3157,0.35698447893569846,4.5,$$ - $$$,13
Sottosopra Restaurant,Rome,Italian,3184,10586,0.30077460797279426,4.0,$$ - $$$,213
Slim Jim's Liquor Store,London,FEATURES,14910,19359,0.7701844103517743,3.0,$,49
Cafeteria Teresa,Madrid,Spanish,6671,10890,0.6125803489439853,5.0,$,2
Bubbolitas - Bubble Tea Bar,Paris,"Lunch, Brunch, Drinks",3375,16668,0.20248380129589633,4.5,$,75
Tartar-ia,Lisbon,International,133,4685,0.02838847385272145,4.5,$$ - $$$,234
Cafe Bar Valimo,Helsinki,"Cafe, European, Pub, Scandinavian, Vegetarian Friendly, Gluten Free Options",229,1474,0.155359565807327,4.0,$$ - $$$,66
The Colonnade London,London,"British, Bar, European",16365,19359,0.8453432512009917,3.0,$$ - $$$,125
Vespa Caffeterria, Bratislava,Cafe,14,98,0.14285714285714285,4.5,$,46
CHOI SUN - Kokiri,Paris,"Asian, Korean",7770,16668,0.4661627069834413,4.5,$,14
Gandhi Grondal,Stockholm,Indian,1120,2880,0.3888888888888889,4.5,$,8
Renger-Patzsch Restaurant,Berlin,"French, German",383,7127,0.05373930124877228,4.0,$$ - $$$,201
"Beer, Beef & Beyond",Porto,"Steakhouse, Brazilian, Fusion, Gastropub",661,1900,0.34789473684210526,4.5,$$ - $$$,27
Ra’mien go,Vienna,"Asian, Chinese, International, Fusion, Japanese Fusion",2351,3953,0.5947381735390842,4.0,$$ - $$$,10
SimpleRAW,Copenhagen,"European, Healthy",274,2333,0.11744534933561937,4.5,$$ - $$$,94
Lehrter Cafe,Berlin,"French, Cafe, International",4953,7127,0.6949628174547495,4.0,$,4
Atrio Restaurant & Bar + Terrace,Brussels,"Italian, European, Scandinavian",711,3526,0.20164492342597845,4.5,$$ - $$$,42
Soleil Levant,Paris,"Japanese, Asian",6345,16668,0.3806695464362851,4.5,$$ - $$$,22
B Burger,Barcelona,"American, Contemporary",429,9312,0.04606958762886598,4.5,$$ - $$$,806
Taverna Tatjana,Ljubljana,"Local cuisine, Seafood, Mediterranean, European, Slovenian",179,581,0.3080895008605852,3.5,$$ - $$$,160
L'Annexe,Paris,"French, Bar, Cafe, Grill, Pub",10398,16668,0.6238300935925126,4.0,$$ - $$$,11
Le Plomb du Cantal,Paris,"French, European",2453,16668,0.14716822654187664,4.0,$$ - $$$,469
Ercoli Parioli,Rome,"Italian, Mediterranean, Wine Bar, Romana, Lazio, Central-Italian",3695,10586,0.3490459096920461,3.5,$$ - $$$,350
The Full Nelson,London,"Quick Bites, Bar, British, Pub, Vegetarian Friendly, Vegan Options",121,1819,0.06652006597031336,5.0,$,52
Sanbermut,Barcelona,"Mediterranean, Spanish",3768,9312,0.40463917525773196,3.5,$$ - $$$,55
Marmara,Amsterdam,"Turkish, Middle Eastern",1979,3854,0.5134924753502854,4.5,$,17
Tandoori Hut,Oslo,"Indian, Pakistani, Middle Eastern",406,1306,0.3108728943338438,4.0,$$ - $$$,46
Springbank,London,Seafood,11766,19359,0.6077793274445994,4.0,$,7
Prego Gourmet Lda,Lisbon,"Fast Food, European, Portuguese",4139,4685,0.8834578441835645,3.0,$,29
Bombay Spice,London,"Indian, Asian",5702,19359,0.2945400072317785,4.5,$,24
Ottawa Burger,Madrid,"American, Fast Food",3599,10890,0.33048668503213957,4.0,$$ - $$$,44
Focolare,Berlin,Italian,5820,7127,0.8166128805949208,5.0,$,1
Shabby Bistrot,Rome,"Italian, Mediterranean, European",3392,10586,0.32042320045342904,4.0,$$ - $$$,201
a pestiqueria da estrela,Lisbon,"European, Portuguese",3020,4685,0.6446104589114194,5.0,$,3
Il Pierrot Di Garofalo,Milan,"Italian, Pizza, Seafood, Mediterranean, Grill",416,7025,0.05921708185053381,4.0,$$ - $$$,288
Pravda,Milan,Meals,1164,7025,0.16569395017793595,4.5,$$ - $$$,149
Jaipur - Ristorante Indiano,Rome,"Balti, Indian, Asian",522,10586,0.04931040997543926,4.5,$$ - $$$,627
Midory Japanese Restaurant,Paris,"Japanese, Sushi, Asian",6750,16668,0.40496760259179265,4.0,$$ - $$$,79
Best Taste Experts,Athens,"Pizza, Fast Food, Greek, Street Food",674,2438,0.27645611156685806,4.5,$,43
Indian Zing,London,"Indian, Asian, Vegetarian Friendly, Vegan Options, Gluten Free Options",744,19359,0.03843173717650705,4.5,$$ - $$$,412
Tiramisu Roma Trastevere,,Italian,252,1006,0.2504970178926441,4.0,$,142
Tasquinha D'ouro,Porto,"European, Portuguese, Mediterranean",363,1900,0.19105263157894736,4.5,$,94
Infiniti Rock cafe,Bratislava,"American, Bar, International, Pub",685,1199,0.5713094245204337,3.0,$$ - $$$,289
Huong que,Berlin,"Asian, Vietnamese, Vegetarian Friendly, Vegan Options, Gluten Free Options",1211,7127,0.1699172162200084,4.0,$,100
M89 Terrace,Milan,"Mediterranean, Healthy, Italian, Seafood, European",3966,7025,0.5645551601423487,3.5,$$ - $$$,28
McDonald's,Oslo,Fast Food,64,74,0.8648648648648649,3.0,$,36
"Kences, a Szendvicskrembar", Budapest,"Fast Food, European, Healthy, Hungarian",177,309,0.5728155339805825,5.0,$,9
El Catala,Barcelona,"Mediterranean, Spanish",2306,9312,0.24763745704467355,4.0,$$ - $$$,101
Burrito Mama,London,"Fast Food, Mexican",859,1819,0.4722374931280924,4.0,$,54
Pizza Express,London,"Pizza, Italian",7694,19359,0.39743788418823284,3.5,$$ - $$$,67
Mezzosacco Pizza & Tavola Calda,Rome,"Pizza, Italian",2933,10586,0.2770640468543359,4.5,$,49
Paradis Thai,Paris,"Asian, Thai",4007,16668,0.2404007679385649,3.5,$$ - $$$,261
Haweli of Sutton,London,"Indian, Bangladeshi, Eastern European",12601,19359,0.6509117206467276,3.5,$$ - $$$,24
Taverna Korfu,Hamburg,Greek,1369,3157,0.4336395312005068,4.0,$$ - $$$,21
Gasthaus Hausmannskost,Vienna,FEATURES,1579,3953,0.39944346066278774,4.5,$,11
Chez Margot,Paris,"French, Healthy, Deli, Street Food",15124,16668,0.9073674106071514,4.5,$$ - $$$,2
Takajo Sushi,Luxembourg City,"Japanese, Sushi, Asian",298,715,0.4167832167832168,4.5,$$ - $$$,19
Trastevere Uno,Hamburg,Italian,1010,3157,0.3199239784605638,5.0,$$ - $$$,14
Zenna Bar,London,Bar,4769,19359,0.24634536907898136,4.5,$$ - $$$,84
Confeitaria Alianca,Porto,"Cafe, Portuguese, European",705,1900,0.37105263157894736,4.5,$,22
Boulevard Burger House,Porto,"American, Diner, Fast Food",478,1900,0.25157894736842107,4.0,$$ - $$$,113
Gavaz,Vienna,,2723,3953,0.6888439160131545,4.0,$,6
Bombay Blue - Indian Restaurant,Madrid,Indian,3678,10890,0.33774104683195594,4.0,$$ - $$$,29
Crusto,Barcelona,"Bar, Pub",7370,9312,0.7914518900343642,3.5,$$ - $$$,2
Cafe Bar Capri,Madrid,Spanish,3590,10890,0.32966023875114786,4.5,$,11
Paradiso Ristorante,Paris,"Italian, Mediterranean",10732,16668,0.6438684905207583,3.5,$$ - $$$,17
Hostaria da Vincenzo,Rome,"Italian, Seafood, Mediterranean, Soups",1215,10586,0.11477423011524655,4.0,$$ - $$$,378
Clasico Argentino,Paris,"Argentinean, Latin",4580,16668,0.2747780177585793,4.5,$,46
Tapas 28,Lisbon,"Mediterranean, European, Spanish",4351,4685,0.9287086446104589,2.0,$$ - $$$,292
Italo Disco,Copenhagen,"Italian, Mediterranean, European",303,2333,0.12987569652807543,4.5,$$ - $$$,71
Dim t - Victoria,London,"Japanese, Asian, Thai",3625,19359,0.18725140761402964,3.5,$$ - $$$,486
Library Lounge, Barcelona,Spanish,175,412,0.42475728155339804,4.5,$$ - $$$,15
Ap'Allou,Athens,Greek,643,2438,0.263740771123872,5.0,$,20
Forbidden Temple,London,Asian,13916,19359,0.7188387829949894,4.0,$,3
Shu,Paris,"Japanese, Asian",798,16668,0.04787616990640749,4.5,$$$$,313
Restaurant Ungeheuer,Berlin,"German, Mediterranean, European, Fusion",1537,7127,0.21565876245264487,4.0,$$ - $$$,109
Coffe House,Lisbon,"European, Portuguese",3283,4685,0.7007470651013874,4.5,$,3
Osteria Mare in Pasta,Milan,"Italian, Seafood, Mediterranean",328,7025,0.046690391459074734,4.0,$$ - $$$,233
Pakito,Paris,Spanish,12961,16668,0.7775977921766258,3.5,$$ - $$$,21
Mavi,Rome,"Italian, Mediterranean, European",1943,10586,0.18354430379746836,4.0,$$ - $$$,833
Stage Door Steakhouse & Bar,London,"Mediterranean, Greek",5212,19359,0.2692287824784338,4.0,$$ - $$$,72
Aux Villes du Nord,Paris,"French, Bar, European",14574,16668,0.8743700503959683,3.0,$$ - $$$,145
La Croissanterie,Lyon,Fast Food,2013,2705,0.744177449168207,3.5,$,21
Un Poco,Stockholm,"Italian, Mediterranean, European, Vegetarian Friendly, Vegan Options",85,2880,0.029513888888888888,4.5,$$ - $$$,301
Azul,Ixelles,"Spanish, Wine Bar",145,243,0.5967078189300411,4.0,$$ - $$$,23
Chez Raymonde,Paris,French,12786,16668,0.7670986321094313,3.5,$$ - $$$,4
McDonald's,Madrid,Fast Food,8472,10890,0.7779614325068871,3.0,$,25
Pommidoro,Rome,"Italian, Pizza",1231,10586,0.11628566030606462,4.5,$$ - $$$,108
The Golden Anchor Public House,London,Caribbean,12715,19359,0.6568004545689343,3.5,$$ - $$$,7
La Collina Dei Ciliegi,Milan,"Italian, Pizza",3345,7025,0.4761565836298932,4.0,$,50
Selmos,London,"European, Portuguese",7150,19359,0.3693372591559481,4.5,$,25
Majestic Asia Restaurant,Munich,"Sushi, Asian, Chinese",1752,3020,0.5801324503311258,3.5,$$ - $$$,66
The Hammersmith Cafe,London,Thai,9061,19359,0.4680510356939925,4.0,$,35
The Light House,London,"Local cuisine, British, Vegetarian Friendly, Gluten Free Options",1074,19359,0.055478072214473886,4.0,$$ - $$$,355
Amigo Cascarilles,Barcelona,"Mediterranean, Spanish, Bar, Pub",5254,9312,0.5642182130584192,3.5,$$ - $$$,135
Pizzaria Mafiosi,Vienna,"Italian, Pizza, European",1295,3953,0.3275992916772072,3.5,$,148
Le Petit Dauphin,Lyon,"Moroccan, Mediterranean",985,2705,0.36414048059149723,4.0,$$ - $$$,73
La Cova D'horta,Barcelona,Spanish,2738,9312,0.29402920962199314,4.5,$,25
Trattoria Degusti,Krakow,"Mediterranean, Vegetarian Friendly, Gluten Free Options",311,1589,0.19572057898049086,4.0,$$ - $$$,296
chrysanthemum,Dublin,"Chinese, Asian",1329,2313,0.5745784695201037,3.5,$$ - $$$,55
Lahore One Restaurant,London,"Indian, Pakistani, Asian",3848,19359,0.19877059765483754,4.0,$$ - $$$,185
The Bell,London,"Bar, British, Pub",5954,19359,0.3075572085334986,4.0,$$ - $$$,133
Zen Mondo Japanese Dining,London,"Japanese, Sushi, Asian",2766,19359,0.14287928095459476,4.5,$$ - $$$,149
The White Hart Pub & Steakhouse,London,"Bar, British, Pub, Vegetarian Friendly, Gluten Free Options",6103,19359,0.31525388708094426,4.5,$$ - $$$,112
L'Envol Cafe Quebecois,Paris,Meals,10263,16668,0.6157307415406768,4.0,$$ - $$$,16
The BBQ Club,London,"Barbecue, British",8479,19359,0.4379874993543055,4.0,$$ - $$$,20
La Pasticceria di Gracia,elona,"Italian, Cafe, Mediterranean",118,311,0.37942122186495175,4.5,$,60
Hemaru,Paris,"Korean, Japanese, Asian",4921,16668,0.29523638108951283,4.0,$$ - $$$,66
AlKaram,Paris,"Lebanese, Mediterranean, Middle Eastern, Vegetarian Friendly, Vegan Options",54,16668,0.0032397408207343412,4.5,$$ - $$$,743
La Terrasse Vedettes de Paris,Paris,"French, International",14414,16668,0.8647708183345333,3.0,$$ - $$$,205
Cerveceria Carril,Madrid,"Mediterranean, Spanish",6684,10890,0.6137741046831956,3.5,$$ - $$$,24
Pantlika Bistro,Budapest,"American, Bar, European, Hungarian",62,145,0.42758620689655175,4.0,$$ - $$$,112
Churrascaria O Frango,Hamburg,"Seafood, Mediterranean, Barbecue, European, Portuguese",299,3157,0.09471016788089959,4.0,$$ - $$$,191
Mevlana Restaurant,Decines-Charpieu,French,29,49,0.5918367346938775,3.5,$,6
La Table Ronde,Paris,French,10083,16668,0.6049316054715623,4.0,$,12
Hokkaido,Madrid,"Japanese, Sushi",3085,10890,0.283287419651056,3.5,$$ - $$$,75
Game Up Pub,Budapest,"Bar, Pub, Fast Food, European, Central European, Hungarian",1069,2933,0.364473235594954,4.5,$,19
La Locomotiva,Rome,Pizza,2504,10586,0.23653882486302663,4.0,$$ - $$$,725
Restaurante Arola,Barcelona,"Mediterranean, European, Spanish",1391,9312,0.14937714776632302,4.0,$$$$,625
Traiteur Picnic,Brussels,"Italian, Pizza, European",960,3526,0.27226318774815655,4.0,$,44
Saddle & Sabre,Stockholm,"American, Steakhouse, Bar, Barbecue",649,2880,0.22534722222222223,4.0,$$ - $$$,103
Abend-Restaurant Feuervogel,Vienna,Russian,1743,3953,0.4409309385277005,4.0,$$ - $$$,28
Restaurante O Pescador,Hamburg,Special Diets,1687,3157,0.5343680709534369,3.5,$$ - $$$,28
Il Giardino,Milan,Italian,5421,7025,0.7716725978647687,3.5,$,6
Rione 13,Rome,"Local cuisine, Italian, Pizza, Mediterranean, European, Romana",132,10586,0.012469299074249008,4.5,$$ - $$$,675
Mandoca,Barcelona,"American, Latin, Venezuelan",4558,9312,0.4894759450171821,3.5,$$ - $$$,45
Pao Quente Muralhas Do Olival Porto, Porto,"Portuguese, Cafe, European",28,82,0.34146341463414637,4.5,$,79
Saumon et Cie,Lyon,French,1308,2705,0.4835489833641405,3.5,$,48
Bar Primero,Helsinki,"Spanish, Chinese, European, Middle Eastern, Scandinavian",910,1474,0.6173677069199457,3.5,$$ - $$$,12
Antep Durum,London,Turkish,14734,19359,0.7610930316648588,3.5,$,5
Chez Monsieur,Paris,"French, European",739,16668,0.0443364530837533,4.5,$$ - $$$,425
Shiva,Berlin,Indian,2514,7127,0.35274308965904305,4.0,$$ - $$$,30
Oklava,London,"Mediterranean, European, Turkish, Middle Eastern, Vegetarian Friendly",642,19359,0.03316286998295367,4.5,$$ - $$$,313
Moderna Speciality Cafe,Ljubljana,"Cafe, Bar, Pub, Soups",365,581,0.6282271944922547,4.0,$$ - $$$,12
Restaurante Sem Palavras,Lisbon,"Portuguese, Seafood, European",1540,4685,0.3287086446104589,4.0,$$ - $$$,90
San Marino,Munich,"Italian, Mediterranean, European",670,3020,0.22185430463576158,4.0,$$ - $$$,65
Asia Te,Madrid,Asian,763,10890,0.07006427915518824,4.0,$$ - $$$,155
Hill & Szrok,London,Meals,4217,19359,0.21783149956092773,4.5,$$ - $$$,70
Silk and Spicy,Warsaw,"Japanese, Sushi, Asian, Thai",390,3007,0.12969737279680746,4.0,$$ - $$$,132
Pegenini,Budapest,International,1421,2933,0.48448687350835323,4.0,$$ - $$$,9
Restaurante Sei La,Porto,Portuguese,942,1900,0.4957894736842105,4.0,$$ - $$$,37
Lou tiap,Paris,"French, European",892,16668,0.0535157187425006,4.5,$$ - $$$,139
Magnifica,Rome,"Italian, Pizza, Mediterranean",2128,10586,0.2010202153788022,4.0,$$ - $$$,476
Bar Amadeus,Prague,International,1001,5235,0.19121298949379179,4.0,$$ - $$$,89
Apollon,Paris,"European, Greek",1423,16668,0.08537317014638829,4.0,$$ - $$$,180
Courte Paille,Ecully,Steakhouse,12,22,0.5454545454545454,3.5,$$ - $$$,66
DiningRuhm,Vienna,"Japanese, International, Asian, Fusion",14,3953,0.0035416139640779155,4.5,$$ - $$$,139
zenyama,Paris,"Japanese, Sushi, Asian",7935,16668,0.47606191504679624,3.5,$$ - $$$,52
El Kiosko Ferraz,Madrid,"Spanish, International, Mediterranean",1705,10890,0.15656565656565657,4.0,$$ - $$$,130
The Dovetail,London,"Belgian, Bar, European, Pub",3638,19359,0.1879229299034041,4.0,$$ - $$$,155
Ivy's Pho & Grill,Vienna,"Vietnamese, Street Food, Asian",1118,3953,0.2828231722742221,4.5,$$ - $$$,33
Fish and Food Cafe,Paris,"Seafood, Healthy",11567,16668,0.6939644828413727,3.5,$,16
Ristorante Petrucci,Rome,"Italian, Mediterranean",3781,10586,0.35716984696769316,4.0,$$ - $$$,177
